source_id,cab,name,recovery_products,files
1186972585,CAB-6db348098761db4032082455b032f42f,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Idle,scalar-full-source,1
1186972585,CAB-6db348098761db4032082455b032f42f,acl-database-bulk,scalar-full-source,2
1186972585,CAB-6db348098761db4032082455b032f42f,native-object,scalar-full-source,2
1186972585,CAB-6db348098761db4032082455b032f42f,streaming-info,scalar-full-source,2
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,2045774491675328414,highest-quality,1
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,5878337502696187076,highest-quality,1
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Sad_End,scalar-full-source,1
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Sad_End,scalar-full-source,1
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,acl-database-bulk,scalar-full-source,2
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,native-object,scalar-full-source,2
1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,streaming-info,scalar-full-source,2
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,-2912069511717118028,highest-quality,1
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,1465532539227399683,highest-quality,1
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,Avatar_Female_Size02_Remielle_Origin_Ani_UI_S1toE,scalar-full-source,1
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,Avatar_Female_Size02_Remielle_Origin_Default_Ani_UI_S1toE,scalar-full-source,1
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,acl-database-bulk,scalar-full-source,2
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,native-object,scalar-full-source,2
1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,streaming-info,scalar-full-source,2
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,-8200816506748520153,highest-quality,1
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,472486514639819991,highest-quality,1
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Special_Start,scalar-full-source,1
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Special_Start,scalar-full-source,1
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,acl-database-bulk,scalar-full-source,2
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,native-object,scalar-full-source,2
1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,streaming-info,scalar-full-source,2
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,-4696264967594137980,highest-quality,1
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,-5813938829306315185,highest-quality,1
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,Avatar_Female_Size02_Remielle_Origin_Ani_UI_Detail,scalar-full-source,1
